x,Q^2,F2_exp
0.07,7.5,0.571063
0.07,8.75,0.66624
0.1,7.5,0.399744
0.1,8.75,0.466368
0.1,10.25,0.546317
0.14,8.75,0.33312
0.14,10.25,0.390226
0.14,11.75,0.447333
0.14,13.25,0.504439
0.14,15,0.571063
0.18,8.75,0.259093
0.18,10.25,0.303509
0.18,11.75,0.347925
0.18,13.25,0.392341
0.18,15,0.44416
0.18,17,0.503382
0.225,10.25,0.242808
0.225,11.75,0.27834
0.225,13.25,0.313873
0.225,15,0.355328
0.225,17,0.402705
0.225,19,0.450082
0.225,21.5,0.509304
0.225,24.5,0.580369
0.225,28,0.663279
0.275,10.25,0.198661
0.275,11.75,0.227733
0.275,13.25,0.256805
0.275,15,0.290723
0.275,17,0.329486
0.275,19,0.368249
0.275,21.5,0.416703
0.275,24.5,0.474848
0.275,28,0.542683
0.275,32.5,0.6299
0.275,37.5,0.726808
0.35,11.75,0.178933
0.35,13.25,0.201776
0.35,15,0.228425
0.35,17,0.258882
0.35,19,0.289339
0.35,21.5,0.32741
0.35,24.5,0.373095
0.35,28,0.426394
0.35,32.5,0.494921
0.35,37.5,0.571063
0.35,43,0.654819
0.45,11.75,0.13917
0.45,13.25,0.156937
0.45,15,0.177664
0.45,17,0.201353
0.45,19,0.225041
0.45,21.5,0.254652
0.45,24.5,0.290185
0.45,28,0.33164
0.45,32.5,0.384939
0.45,37.5,0.44416
0.45,43,0.509304
0.45,49.5,0.586291
0.45,57,0.675123
0.55,11.75,0.113867
0.55,13.25,0.128403
0.55,15,0.145362
0.55,17,0.164743
0.55,19,0.184125
0.55,21.5,0.208352
0.55,24.5,0.237424
0.55,28,0.271341
0.55,32.5,0.31495
0.55,37.5,0.363404
0.55,43,0.416703
0.55,49.5,0.479693
0.55,57,0.552374
0.55,65.5,0.634745
0.65,13.25,0.108648
0.65,15,0.122998
0.65,17,0.139398
0.65,19,0.155798
0.65,21.5,0.176297
0.65,24.5,0.200897
0.65,28,0.229597
0.65,32.5,0.266496
0.65,37.5,0.307496
0.65,43,0.352595
0.65,49.5,0.405894
0.65,57,0.467393
0.65,65.5,0.537092
0.65,75,0.614991
